country,season,gender,age_group,registered_players,metric_name,source_report,source_file,source_page,quality_flag,notes
Italy,2015-16,female,total,22877,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
Italy,2015-16,male,total,1039417,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
Italy,2015-16,total,total,1062294,tesserati,ReportCalcio 2017,Report_Calcio_2017_ITA_BASSA.pdf,31,confirmed,
Italy,2016-17,female,dilettantistica,14266,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,male,dilettantistica,356274,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,total,dilettantistica,370540,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,female,professionistica,0,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,male,professionistica,12319,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,total,professionistica,12319,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,female,sgs,9637,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,male,sgs,664328,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,total,sgs,673965,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,female,total,23903,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,male,total,1032921,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2016-17,total,total,1056824,tesserati,ReportCalcio 2018,Report_Calcio_2018_ITA_BASSA.pdf,36-37,confirmed,"SGS total corrected: PDF shows 637.965, correct value 673.965 (664.328+9.637=673.965)"
Italy,2017-18,female,dilettantistica,13879,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,male,dilettantistica,351155,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,total,dilettantistica,365034,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
