country,season,gender,age_group,age_threshold,registered_players,metric_name,source_name,source_url,source_page,quality_flag,notes,year
France,2015-16,female,native_band,20 à 29 ans,27641,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,female,native_band,30 à 44 ans,22259,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,female,native_band,45 à 59 ans,13027,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,female,native_band,5 à 9 ans,14031,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,female,native_band,60 à 74 ans,3690,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,female,native_band,75 ans et plus,327,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,female,total,,139357,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data,2016
France,2015-16,male,native_band,1 à 4 ans,0,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,10 à 14 ans,454467,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,15 à 19 ans,281103,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,20 à 29 ans,369911,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,30 à 44 ans,358207,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,45 à 59 ans,163071,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,5 à 9 ans,289628,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,60 à 74 ans,41138,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,native_band,75 ans et plus,3856,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2016
France,2015-16,male,total,,1961381,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2016.csv,A,FFF code 111; national total aggregated from commune-level data,2016
France,2016-17,female,native_band,1 à 4 ans,0,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,10 à 14 ans,40279,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,15 à 19 ans,29256,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,20 à 29 ans,28748,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,30 à 44 ans,23627,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,45 à 59 ans,13517,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,5 à 9 ans,16890,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,60 à 74 ans,3859,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,native_band,75 ans et plus,334,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,female,total,,156510,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data,2017
France,2016-17,male,native_band,1 à 4 ans,0,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,10 à 14 ans,466240,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,15 à 19 ans,282624,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,20 à 29 ans,353007,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,30 à 44 ans,349892,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,45 à 59 ans,162963,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,5 à 9 ans,313492,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,60 à 74 ans,41819,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,native_band,75 ans et plus,4052,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2017
France,2016-17,male,total,,1974089,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2017.csv,A,FFF code 111; national total aggregated from commune-level data,2017
France,2017-18,female,native_band,1 à 4 ans,0,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,10 à 14 ans,41547,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,15 à 19 ans,31712,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,20 à 29 ans,29448,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,30 à 44 ans,24696,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,45 à 59 ans,13766,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,5 à 9 ans,16663,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,60 à 74 ans,3964,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,native_band,75 ans et plus,345,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,female,total,,162141,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data,2018
France,2017-18,male,native_band,1 à 4 ans,0,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,10 à 14 ans,466723,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,15 à 19 ans,283119,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,20 à 29 ans,340742,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,30 à 44 ans,347934,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,45 à 59 ans,162984,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,5 à 9 ans,294535,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,60 à 74 ans,42106,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,native_band,75 ans et plus,4152,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2018
France,2017-18,male,total,,1942295,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2018.csv,A,FFF code 111; national total aggregated from commune-level data,2018
France,2018-19,female,native_band,1 à 4 ans,1,registered_licences,INJEP — Recensement des licences sportives,https://injep.fr/donnee/recensement-des-licences-sportives/,lic-data-2019.csv,A,FFF code 111; national total aggregated from commune-level data; native INJEP age band,2019
