country,season,sport,gender,registered_players,metric_name,source_name,source_url,source_file,quality_flag,notes
Spain,2019-20,football,male,792035,licencias,RFEF Memoria,,licencias-2019-2020.pdf,estimated,hard-coded from image analysis
Spain,2019-20,football,total,846806,licencias,RFEF Memoria,,licencias-2019-2020.pdf,estimated,hard-coded from image analysis
Spain,2019-20,futsal,female,17032,licencias,RFEF Memoria,,licencias-2019-2020.pdf,estimated,hard-coded from image analysis
Spain,2019-20,futsal,male,119059,licencias,RFEF Memoria,,licencias-2019-2020.pdf,estimated,hard-coded from image analysis
Spain,2019-20,futsal,total,136091,licencias,RFEF Memoria,,licencias-2019-2020.pdf,estimated,hard-coded from image analysis
Spain,2020-21,football,female,47013,licencias,RFEF Memoria,,licencias20202021OK.pdf,confirmed,
Spain,2020-21,football,male,639891,licencias,RFEF Memoria,,licencias20202021OK.pdf,confirmed,
Spain,2020-21,football,total,686904,licencias,RFEF Memoria,,licencias20202021OK.pdf,confirmed,
Spain,2020-21,futsal,female,16059,licencias,RFEF Memoria,,licencias20202021OK.pdf,confirmed,
Spain,2020-21,futsal,male,66411,licencias,RFEF Memoria,,licencias20202021OK.pdf,confirmed,
Spain,2020-21,futsal,total,82470,licencias,RFEF Memoria,,licencias20202021OK.pdf,confirmed,
Spain,2021-22,football,female,62493,licencias,RFEF Memoria,,memorialicenciasrfef2122.pdf,confirmed,
Spain,2021-22,football,male,811036,licencias,RFEF Memoria,,memorialicenciasrfef2122.pdf,confirmed,
Spain,2021-22,football,total,873529,licencias,RFEF Memoria,,memorialicenciasrfef2122.pdf,confirmed,
Spain,2021-22,futsal,female,28426,licencias,RFEF Memoria,,memorialicenciasrfef2122.pdf,confirmed,
Spain,2021-22,futsal,male,100760,licencias,RFEF Memoria,,memorialicenciasrfef2122.pdf,confirmed,
Spain,2021-22,futsal,total,129186,licencias,RFEF Memoria,,memorialicenciasrfef2122.pdf,confirmed,
Spain,2022-23,football,female,79718,licencias,RFEF Memoria,,LICENCIAS_2223.pdf,confirmed,
Spain,2022-23,football,male,873119,licencias,RFEF Memoria,,LICENCIAS_2223.pdf,confirmed,
Spain,2022-23,football,total,952837,licencias,RFEF Memoria,,LICENCIAS_2223.pdf,confirmed,
Spain,2022-23,futsal,female,33186,licencias,RFEF Memoria,,LICENCIAS_2223.pdf,confirmed,
Spain,2022-23,futsal,male,106306,licencias,RFEF Memoria,,LICENCIAS_2223.pdf,confirmed,
Spain,2022-23,futsal,total,139492,licencias,RFEF Memoria,,LICENCIAS_2223.pdf,confirmed,
